title,description,link,pubDate,creator
"A running list of how President Trump is changing environmental policy","The Trump administration has promised vast changes to U.S. science and environmental policy—and we’re tracking them here as they happen.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/HVEipnxHppU/,"9 January 2019 7:00:00",
"From St. Nicholas to Santa Claus: the surprising origins of Kris Kringle","Santa Claus, Father Christmas, St. Nick—no matter the name, everyone knows the story of this plump, jolly, bringer of gifts. Or do they?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/btWOvZZg1rU/,"25 December 2018 1:30:00",
"Where's Santa buried? Resting places of the real St. Nick","The mortal remains of the 4th-century Greek bishop are likely scattered around the world as holy relics.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/jSkGowdRWvo/,"22 December 2018 10:00:00",
"When is the first day of winter? December solstice 2018 explained.","Find out how astronomy and meteorology differ on the definition, why solstices happen, and how the day is marked around the world.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/xHZZaGr78-E/,"21 December 2018 3:50:00",
"A whopping 91% of plastic isn't recycled","Billions of tons of plastic have been made over the past decades, and much of it is becoming trash and litter, finds the first analysis of the issue.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/dutrL4wCUUo/,"20 December 2018 3:00:00",
"Fast facts about plastic pollution","Versatile, pliable, durable, cheap to produce—and ubiquitous. Plastic is all of that. It is also both a life-saving miracle product and the scourge of the Earth. Here are eight essential facts to keep in mind.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/UQqNfdXNxjc/,"20 December 2018 3:00:00",
"We visited the border wall. Here's what it looks like.","In 2016, our photographer visited the heavily guarded—and completely empty—parts of the 2,000-mile-long U.S.-Mexico border.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/K-cIqLCUldI/,"12 December 2018 7:23:00",
"Both of NASA's Voyager spacecraft are now interstellar. Where to next?","Launched in 1977, the twin probes will likely outlive the sun. Find out what star systems they’ll meet as they head deeper into the galaxy.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/GpEkqiBXM1A/,"10 December 2018 4:00:00",
"This notorious Christmas character is dividing a country","Neo-Nazis in the Netherlands have responded violently to calls to get rid of Santa's blackface holiday assistant.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/5mNHsyrLzAU/,"6 December 2018 4:15:00",
"Who is Krampus? Explaining the horrific Christmas beast","Santa's got some competition: a terrifying Christmas devil named Krampus, which is catching on in pop culture worldwide.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Qvv8M116sXQ/,"5 December 2018 9:00:00",
"Turkeys can swim—and other fun facts for Thanksgiving table talk","There's much more to America's holiday bird than white and dark meat.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/YlZXN6n8XTo/,"21 November 2018 11:00:00",
"Are marsquakes anything like earthquakes? NASA is about to find out.","A new spacecraft that's due to land soon on Mars will investigate why and how much the red planet rumbles.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/AbCV644ulQ4/,"20 November 2018 5:35:00",
"A few things you (probably) don’t know about Thanksgiving","The pilgrims stole from graves, the Wampanoag were devastated by disease, and the peace between them was political.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/SQ4Fry7JLuo/,"20 November 2018 12:00:00",
"How World War I launched mapmaking at National Geographic","This Veterans Day marks the 100th anniversary of the end of World War I. It was during the war that National Geographic Society began producing original maps.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/sF0x_F9_bqg/,"9 November 2018 9:00:00",
"'Biggest case on the planet' pits kids vs. climate change","A pioneering lawsuit against the U.S. government has won the right to a trial, overcoming the Trump administration's efforts to cancel it in court.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/SrKKkkJVFLg/,"9 November 2018 2:45:00",
"The map that popularized the word ‘gerrymander’","The practice wasn’t new in 1812. But a map in a newspaper gave it a name that stuck.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/D5-plb6Thhk/,"6 November 2018 5:00:00",
"Why do we have daylight saving time? 100 years of history","Get the facts about springing forward and falling back, a tradition that was established in the U.S. in 1918.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Mcu2vIiStHk/,"2 November 2018 4:01:00",
"Everything you need to know about Halloween 2018","From the holiday’s Celtic history to this year’s top costumes, here’s what to know to have a smart and scary holiday.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/TBlAKggddDY/,"31 October 2018 2:00:00",
